Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",4.025000,12.700000,-90.000000,bottom
"C1","1uF 250V","C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3",22.175000,21.050000,-90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.175000,19.550000,90.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.575000,20.800000,0.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.725000,20.800000,0.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",13.475000,1.600000,-90.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",29.985000,21.350000,90.000000,top
"J3","Conn_01x07","PinHeader_1x07_P2.54mm_Vertical",62.725000,5.900000,180.000000,top
"J4","RJ12","RJ_6p6c",18.025000,16.800000,-90.000000,top
"R1","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.275000,19.550000,-90.000000,top
"R2","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.525000,19.550000,90.000000,top
"R3","300K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.575000,17.350000,-90.000000,top
"T1","SM-LP-5001E","Transformer_SMLP5001",31.575000,10.450000,-90.000000,top
"U1","MT88L70AS1","SOIC-18W_7.5x11.6mm_P1.27mm",50.025000,13.500000,0.000000,top
"Y1","3.579545 MHz","Crystal_SMD_HC49-SD_HandSoldering",49.875000,3.850000,0.000000,top
"Z1","3V3","Zener_MiniMELF",38.275000,11.700000,90.000000,top
"Z2","3V3","Zener_MiniMELF",41.075000,11.700000,90.000000,top
